age_group,topic,paying_users,revenue_krw,payments,skill_count
16-25,연애,33184,1.01971815E9,107377,1065
16-25,총운,2588,8.77146E7,3061,21
16-25,결혼,4082,7.545465E7,5524,63
16-25,일반운세,3050,2.990385E7,4481,116
16-25,학업직업,2220,2.02368E7,3809,62
16-25,재물금전,1026,1.211355E7,1283,32
16-25,가족자녀,355,9619050.0,455,19
16-25,기타,2852,7006050.0,4395,208
16-25,자기탐구,546,1873500.0,654,24
26-35,연애,42113,1.8327294E9,168589,1360
26-35,총운,8738,3.3136935E8,10742,35
26-35,결혼,11936,2.831859E8,19651,72
26-35,가족자녀,2715,9.40584E7,3927,25
26-35,일반운세,5271,8.192085E7,9578,135
26-35,학업직업,4644,6.525375E7,9448,76
26-35,재물금전,3279,4.98324E7,4325,42
26-35,기타,4619,1.19316E7,6638,264
26-35,자기탐구,695,3178800.0,810,25
36-50,연애,8452,4.0903455E8,43883,1055
36-50,총운,3481,1.402311E8,4510,33
36-50,결혼,2740,6.43518E7,5211,60
36-50,일반운세,2096,4.18422E7,4494,125
36-50,재물금전,1827,3.172755E7,2737,40
36-50,가족자녀,904,3.065385E7,1375,25
36-50,학업직업,1450,2.26362E7,2713,63
36-50,기타,1051,4485750.0,1796,185
36-50,자기탐구,187,1181100.0,223,21
Other,연애,4156,6.972945E7,12482,1030
Other,총운,252,1.05288E7,351,18
Other,일반운세,510,4378350.0,901,81
Other,재물금전,231,3310050.0,341,25
Other,결혼,299,3245250.0,464,39
Other,기타,602,2457900.0,1023,149
Other,학업직업,254,1635300.0,381,41
Other,가족자녀,51,1255500.0,78,15
Other,자기탐구,73,228600.0,86,13
