event_name,n_events_7d
show_item_in_home_section,1601985
screen_view,1380471
send_msg_by_user,926919
user_engagement,887210
initial_tab,594705
start_block,527093
show_home_section,512732
start_chatroom,458713
page_view,329207
scroll,286915
enter_reward_ad_on_block,226608
show_home_section_complete,217464
view_tab_at_home,205634
view_home_main,168097
enter_skill,158251
view_chatroom,150676
session_start,137037
view_chatlist_main,105020
enter_tab_at_home,100194
open_skill_description,88596
consume_skill,88522
show_chatbot_at_friends,87254
start_persistant_menu,63712
ad_reward,62248
click_start_button,56929
enter_tab_at_home_recommend,55821
view_new_skill_description,55581
finish_reward_ad_on_block,52582
exception,47678
view_skill_feedback,45764
select_charge_station,42622
view_profile_main,39571
touch_home_section_item,39328
view_charge_heart,38101
first_visit,38057
view_skills_in_category,36635
admob_reward_request,36112
admob_reward_response,35941
view_new_preview,31337
view_new_birth_info,30966
sign_up_or_in_main,30697
view_coin_screen,29109
view_result_image_detail,27260
view_reply_with_heart,26374
select_reply_with_heart_first,25771
select_reply_with_heart_second,23168
enter_tab_at_heart,23080
begin_checkout,21630
add_to_cart,21629
skill_feedback_complete,21602
view_popup_charge_heart_success,19987
get_heart_gauge,19761
touch_chat_tab,19019
select_sign_up_button,18982
view_new_login_bottomsheet,18546
view_chatbot_main,18362
try_use_heart_contents,18246
show_set_heart_alarm,18121
view_persistant_menus,16819
touch_skill_in_tag,16598
try_login,16471
touch_new_preview_cta,16383
campaign_details,16149
view_item,15984
touch_category_item,15118
touch_skill_history_item,15112
touch_feedback,14170
touch_home_tab,14114
select_chatbot_filter,14091
view_hellobot_profile,13626
touch_result_image_message,13148
view_popup_charge_heart,13113
enter_sub_category_tab,12767
touch_profile_tab,12396
view_result_image_storages,12144
view_chatroom_to_store,11931
touch_skill_item_in_category,11823
app_update,10817
login_success,10773
first_open,10416
touch_skill_item,10336
touch_result_image_item,10245
view_heart_info,10189
abr_app_install,10058
view_os_push_popup,9931
touch_chatbot,9914
touch_os_push_popup,9780
view_result_image_screen,8912
touch_home_section_more_item,8855
click_stop_chat_button,8602
quick_reply_1,8261
quick_reply_2,7981
touch_recommend_free_skill,7638
quick_reply_3,7503
touch_heart_tab,7404
touch_exhibition_item,7398
view_search_main,7224
quick_reply_4,7135
view_exhibition,7028
touch_chatbot_hellobot,6845
quick_reply_5,6683
view_suggest_push,6611
touch_suggest_push,6382
touch_new_preview_unlock,6378
scroll_bottom_skill_description,6370
touch_search_result,6313
quick_reply_6,6276
abr_app_deeplink_open,6088
touch_todays_free_skill,6025
select_item_for_pay,5878
quick_reply_7,5773
touch_login_button,5709
view_search_result,5649
enter_sign_up_or_in,5396
quick_reply_8,5325
touch_carousel_slide_button,5230
touch_featured_banner,5038
touch_connect_icon,5013
quick_reply_9,4970
purchase,4874
sign_up,4859
purchase_finish_transaction,4720
quick_reply_10,4641
touch_os_push_popup_ok,4352
view_new_question,4325
click_hamburger_button,4286
touch_os_push_popup_ok_system,4199
firebase_campaign,4081
view_review_popup,3935
os_update,3887
delete_result_image_storage,3769
click_myinfo,3663
view_enter_name,3557
view_suggest_push_night,3549
app_remove,3517
pay_for_contents,3501
sign_in,3435
touch_suggest_push_night,3393
in_app_purchase,3335
pay_coin,3135
click_result_image_view_button,3121
touch_alarm_center_icon,3084
view_more_main,3084
view_suggest_push_day,3062
view_saju_info,3053
view_recommend_skill,3013
touch_suggest_push_day,2989
purchase_after_request_success,2786
click_search_tab,2659
touch_chatbot_mybot,2640
click_home_button,2625
purchase_after_touch_coin_answer,2607
click_purchase_product,2403
exit_chatroom,2277
purchase_complete_start,2132
purchase_complete_success,2119
purchase_post_processing_start,2115
purchase_post_processing_success,2115
enter_adison_offerwall,2108
view_relationship_map,1950
purchase_deposit_coin_success,1888
view_chat_list,1864
touch_show_all_skills_in_tag,1847
touch_tomorrows_free_skill,1815
touch_relationship_map,1734
show_item_in_new_skill,1676
click_delete_all_chat,1672
view_promotion_product_popup,1544
view_matching_start,1542
view_profile_setting,1510
view_lock_screen,1433
touch_exhibition_shortcut_button,1421
click_myinfo_name,1368
view_list_relationship_map_this_skill,1350
view_chatbot_profile,1342
touch_purchased_report,1323
view_my_rank,1296
view_result_image,1284
view_shared_result_image,1279
touch_individual_alarm,1274
view_my_subscribed,1273
click_chat_button,1247
touch_result_image_share_button,1245
touch_relation_add,1245
show_set_os_alarm_noticenter,1221
touch_matching_invite_start,1184
view_myinfo_name,1166
view_account,1123
view_list_add_member_popup,1121
touch_quick_match_done_all,1116
view_quick_match,1115
view_result_image_collection,1099
view_myinfo_birthday,1088
click_myinfo_birthday,1083
api_retry_count,1082
touch_relationship_map_in_list,1074
click_myinfo_interest,1031
view_myinfo_interest,1019
view_myinfo_gender,1015
click_myinfo_gender,984
